Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
59,,VAFB,,0,GTO,MDA,,,SAOCOM 1B,Success,F9 B4,Uncontrolled,30 October 2017,22:53:00
60,,KSC,,0,LEO,SES,,,Starlink,Success,F9 FTB1035.2,No attempt,15 December 2017,19:34
61,,VAFB,,525 kg,GTO,Thaicom,,,Starlink,Success,F9 FTB1036.2,No attempt,23 December 2017,15:36
62,,CCAFS,,"4,700 kg",LEO,NASA,,,Starlink,"Success
",F9 B4,Controlled,8 January 2018,01:27
63,,CCAFS,,"4,877 kg",LEO,Orbcomm,,,Starlink,Success,F9 FTB1032.2,Controlled,31 January 2018,01:00
64,,VAFB,,500 kg,LEO,AsiaSat,,,GPS III,Success,F9 FTB1038.2,No attempt,22 February 2018,21:25
65,,CCAFS,,"3,170 kg",LEO,AsiaSat,,,Crew-1,Success,F9 B4,"No attempt
",6 March 2018,14:17
66,,KSC,,"3,325 kg",LEO,NASA,,,Sentinel-6 Michael Freilich (Jason-CS A),Success,F9 B4B1041.2,Uncontrolled,30 March 2018,05:33
67,,CCAFS,,"2,296 kg",Polar orbit,NASA,,,Starlink,Success,F9 B4B1039.2,Failure ,2 April 2018,14:14
68,,CCAFS,,"1,316 kg",GTO,USAF,,,SpaceX CRS-21,"Success
",F9 B4,Controlled,18 April 2018,20:30
69,,VAFB,,"4,535 kg",GTO,ABS,,,SXM-7,"Success
",F9 B5B1046.1,No attempt,11 May 2018,22:51
70,,CCAFS,,"4,428 kg",LEO,NASA,,,NROL-108,"Success
",F9 B4B1043.2,Failure,22 May 2018,20:14
71,,CCAFS,,"2,216 kg",LEO,,,,Türksat 5A,"Success
",F9 B4B1040.2,No attempt,4 June 2018,19:47
72,,CCAFS,,"2,395 kg",GTO,NASA,,,Starlink,Failure,F9 B4B1045.2,Precluded,29 June 2018,04:45
73,,CCAFS,,570 kg,GTO,Orbcomm,,,Transporter-1,"Success
",F9 B5,Success,22 July 2018,09:42
74,,CCAFS,,"4,159 kg",LEO,NASA,,,Dragon Spacecraft Qualification Unit,"Success
",F9 B5B1048,Failure,25 July 2018,05:50
75,,CCAFS,,"1,898 kg",LEO,SES,,,Dragon,"Success
",F9 B5B1046.2,Failure,7 August 2018,11:39
76,,KSC,,"4,707 kg",HEO,NASA,,,Dragon,Success,F9 B5,Success,10 September 2018,05:18
77,,CCAFS,,"1,952 kg",GTO,SKY Perfect JSAT Group,,,SpaceX CRS-1,"Success
",F9 B5B1048.2,Success,8 October 2018,04:45
78,,CCAFS,,"2,034 kg",LEO,Thaicom,,,SpaceX CRS-2,"Success
",F9 B5B1047.2,Success,15 November 2018,02:22
79,,CCAFS,,553 kg,GTO,ABS,,,CASSIOPE,"Success
",F9 B5B1046.3,Failure,3 December 2018,20:46
80,,KSC,,"5,271 kg",LEO,NASA,,,SES-8,"Success
",F9 B5,Success,5 December 2018,18:34:05
81,,KSC,,"3,136 kg",LEO,SKY Perfect JSAT Group,,,Thaicom 6,"Success
",F9 B5,Success,23 December 2018,18:16
82,,KSC,,"4,696 kg",LEO,Iridium Communications,,,SpaceX CRS-3,"Success
",F9 B5B1049.2,Success,11 January 2019,13:51
83,,CCAFS,,"3,100 kg",GTO,NASA,,,Orbcomm-OG2,"Success
",F9 B5B1048.3,Success,22 February 2019,15:31
84,,CCAFS,,"3,600 kg",LEO,EchoStar,,,AsiaSat 8,"Success
",F9 B5[268],No attempt,2 March 2019,01:45
85,,CCAFS,,"2,257 kg",GTO,SES,,,AsiaSat 6,Success,F9 B5,Success,4 May 2019,07:49
86,,CCAFS,,"4,600 kg",GTO,NRO,,,SpaceX CRS-4,"Success
",F9 B5B1049.3,Success,24 May 2019,06:48
87,,KSC,,"9,600 kg",GTO,Inmarsat,,,SpaceX CRS-5,"Success
",F9 B5B1051.2,No attempt,12 June 2019,02:30
88,,CCAFS,,"2,490 kg",LEO,NASA,,,DSCOVR,"Success
",F9 B5B1056.2,Success,25 July 2019,14:17
89,,CCAFS,,"5,600 kg",GTO,Bulsatcom,,,ABS-3A,"Success
",F9 B5B1047.3,Success,6 August 2019,22:01
90,,KSC,,"5,300 kg",Polar,Iridium Communications,,,SpaceX CRS-6,"Success
",F9 B5,Success,11 November 2019,23:23
91,,KSC,,C,LEO,Intelsat,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 B5,No attempt,5 December 2019,14:56
92,,KSC,,"6,070 kg",GTO,NASA,,,SpaceX CRS-7,"Success
",F9 B5B1056.3,Success,17 December 2019,17:29
93,,CCAFS,,"2,708 kg",GTO,NSPO,,,Orbcomm-OG2,"Success
",F9 B5,Success,7 January 2020,00:10
94,,CCAFS,,"3,669 kg",LEO,USAF,,,Jason-3,"Success
",F9 B5,Success,19 January 2020,02:19:21
95,,KSC,,"9,600 kg",GTO,Iridium Communications,,,SES-9,"Success
",F9 B5,Success,29 January 2020,15:30
96,,VAFB,,"6,761 kg",LEO,SES S.A.,,,SpaceX CRS-8,"Success
",F9 B5,Success,17 February 2020,14:07
97,,CCAFS,,"3,310 kg",GTO,KT Corporation,,,JCSAT-14,"Success
",F9 B5,Success,7 March 2020,15:05
98,,KSC,,475 kg,LEO,NASA,,,Thaicom 8,"Success
",F9 B5,Success,18 March 2020,04:50
99,,CCSFS,,"4,990 kg",GTO,Iridium Communications,,,ABS-2A,Success,F9 B5,Controlled,22 April 2020,12:16
100,,KSC,,"9,600 kg",LEO,Northrop Grumman,,,SpaceX CRS-9,Success,F9 B5,Success,30 May 2020,19:30
101,,CCSFS,,"5,200 kg",SSO,SES,,,JCSAT-16,Success,F9 B5,Controlled,4 June 2020,19:22
102,,KSC,,"3,500 kg",LEO,Hisdesat,,,Iridium NEXT,Success,F9 B5,No attempt,13 June 2020,01:25
103,,CCSFS,,"2,205 kg",Polar,Hispasat,,,SpaceX CRS-10,Success,F9 B5,No attempt,30 June 2020,09:21
104,,CCAFS,,"9,600 kg",GTO,Iridium Communications,,,EchoStar 23,Success,F9 B5B1058.2,No attempt,20 July 2020,20:10:46
105,,CCAFS,,C,GTO,NASA,,,SES-10,Success,F9 B5,No attempt,7 August 2020,21:30
106,,CCAFS,,"4,230 kg",LEO,NASA,,,NROL-76,Success,F9 B5B1049.6,Success,18 August 2020,05:12
107,,CCAFS,,"2,150 kg",Polar,Thales-Alenia,,,Inmarsat-5 F4,Success,F9 B5,Success,30 August 2020,14:31
108,,CCAFS,,"6,092 kg",LEO,Iridium Communications,,,SpaceX CRS-11,Success,F9 B5B1060.2,No attempt,3 September 2020,23:18
109,,VAFB,,"9,600 kg",GTO,SES,,,BulgariaSat-1,Success,F9 B5B1058.3,No attempt,6 October 2020,12:46:14
110,,CCAFS,,"2,647 kg",SSO,NASA,,,Iridium NEXT,Success,F9 B5B1051.6,No attempt,18 October 2020,11:29:34
111,,CCAFS,,362 kg,GTO,Telesat,,,Intelsat 35e,Success,F9 B5,Success,24 October 2020,12:25:57
112,,Cape Canaveral,,"3,600 kg",Polar,Iridium Communications,,,SpaceX CRS-12,Success,F9 B5,Success,5 November 2020,15:31:34
113,,Cape Canaveral,,"6,460 kg",LEO,Telkom Indonesia,,,Formosat-5,Success,F9 B5,Success,16 November 2020,23:24:23
114,,Cape Canaveral,,"5,384 kg",HEO,Telesat,,,Boeing X-37B,Success,F9 B5,Success,21 November 2020,00:27
115,,Cape Canaveral,,"2,697 kg",GTO,CONAE,,,Iridium NEXT,Success,F9 B5 ♺,Success,25 November 2020,17:17:08
116,,Cape Canaveral,,"7,075 kg",Polar,Es'hailSat,,,SES-11,Success,F9 B5 ♺,Success,6 December 2020,02:13
117,,Cape Canaveral,,"9,600 kg",GTO,Spaceflight Industries,,,Koreasat 5A,Success,F9 B5 ♺,Success,13 December 2020,16:17:08
118,,Cape Canaveral,,"5,800 kg",LEO,NASA,,,SpaceX CRS-13,"Success
",F9 B5 ♺,Failure,19 December 2020,17:30:00
119,,Cape Canaveral,,"7,060 kg",GTO,USAF,,,Iridium NEXT,Success,F9 B5,No attempt,8 January 2021,14:00:00
120,,Cape Canaveral,,"3,000 kg",Polar,Iridium Communications,,,Zuma,"Success
",F9 B5B1051.8,Success,20 January 2021,02:15
121,,Cape Canaveral,,"5,300 kg",GTO,PSN,,,GovSat-1,"Success
",F9 B5B1058.5,Success,24 January 2021,13:02
1,,Cape Canaveral,,"~4,000 kg",GTO,NASA,,,Paz,"Success
",F9 v1.0B0003.1,Success,4 February 2021,15:00
1,,Cape Canaveral,,"2,500 kg",SSO,NASA,,,Hispasat 30W-6,"Success
",F9 v1.0B0004.1,Success,16 February 2021,18:45
1,,VAFB,,"4,400 kg",GTO,SpaceX,,,Iridium NEXT,"Success
",F9 v1.0B0005.1,Success,4 March 2021,15:43
1,,Cape Canaveral,,"9,600 kg",SSO,Canadian Space Agency,,,SpaceX CRS-14,"Success
",F9 v1.0B0006.1,Success,11 March 2021,07:44
2,,Cape Canaveral,,"4,850 kg",LEO,NASA,,,Transiting Exoplanet Survey Satellite,"Success
",F9 v1.0B0007.1,Success,14 March 2021,00:35
3,,Cape Canaveral,,"12,055 kg",MEO,Spacecom,,,Bangabandhu-1,"Success
",F9 v1.1B1003,No attempt,24 March 2021,15:10
